country,date,Inflation,Unemployment Rate,GDP (USD),Interest Rate
Algeria,2018,4.26999020467084,12.137,194554483655.528,1.72874977200737
American Samoa,2023,,,,
American Samoa,2022,,,871000000.0,
American Samoa,2021,,,750000000.0,
American Samoa,2020,,,721000000.0,
American Samoa,2019,,,647000000.0,
American Samoa,2018,,,639000000.0,
Andorra,2023,,,3785067331.7625,
Andorra,2022,,,3380612573.32922,
Andorra,2021,,,3324647529.381,
Andorra,2020,,,2891001149.3611,
Andorra,2019,,,3155149347.80639,
Andorra,2018,,,3218419896.9641,
Angola,2023,13.6441017767715,14.537,84824654481.7249,-0.59401372733354
Angola,2022,21.3552901320822,14.602,104399746853.401,5.63414289470528
Angola,2021,25.7542948841891,15.799,66505129987.7235,-13.9893722418114
Angola,2020,22.271539247051,16.69,48501561203.5686,8.02865685308567
Angola,2019,17.080954143438,16.497,70897962732.0277,0.09091878728126
Angola,2018,19.6289379701521,16.594,79450688259.3664,-5.84400335337447
Antigua and Barbuda,2023,5.06713865364213,,2033085185.18518,1.8066629756626
Antigua and Barbuda,2022,7.53107834634288,,1867733333.33333,0.766250064542456
Antigua and Barbuda,2021,2.06299638545334,,1601366666.66667,2.36242763396273
Antigua and Barbuda,2020,0.625989707046719,,1410796296.2963,6.82913040505919
Antigua and Barbuda,2019,1.43135598182984,,1725351851.85185,7.83657471966319
Antigua and Barbuda,2018,1.20715793367008,,1661529629.62963,7.40806266963248
Argentina,2023,,6.139,646075277525.125,-16.7714229097284
Argentina,2022,,6.805,632790070063.124,-10.2880388707095
Argentina,2021,,8.736,486564085480.036,-11.8618379621172
Argentina,2020,,11.461,385740508436.965,-7.63517421630372
Argentina,2019,,9.843,447754683615.225,12.1039696489828
Argentina,2018,,9.22,524819892360.176,4.56440909873515
Armenia,2023,1.98041877615554,13.245,24085749592.3359,9.45938580104027
Armenia,2022,8.64091108973855,13.379,19513506553.1251,3.45742932246251
Armenia,2021,7.18483629443371,15.469,13878908628.9378,4.5475881609954
Armenia,2020,1.21143577838465,18.175,12641698583.2152,9.63911034033596
Armenia,2019,1.44344660770698,18.304,13619290539.2116,10.9595785635957
Armenia,2018,2.52023382001638,18.966,12457940694.7395,9.73397739946579
Aruba,2023,,,3648573136.15155,-0.852277920562397
Aruba,2022,,,3279343543.60416,2.85265433875112
Aruba,2021,,,2929446578.25104,11.8970840161137
Aruba,2020,,,2481857122.8401,7.82593470132022
Aruba,2019,4.25746204335428,,3395798882.68156,-0.299776140992784
Aruba,2018,3.62604141352961,,3276184357.5419,2.45304531465618
Australia,2023,5.5970149253731,3.668,1728057316695.61,
Australia,2022,6.59409671341846,3.728,1690858246994.43,
Australia,2021,2.86391042204994,5.116,1556735770437.26,
Australia,2020,0.846905537459305,6.456,1328414058378.38,
Australia,2019,1.61076787290379,5.159,1392723834562.64,1.57806683471944
Australia,2018,1.91140094445691,5.3,1427809041019.44,3.32958805124833
Austria,2023,7.81413417002832,5.264,511685203845.001,
Austria,2022,8.5468699318845,4.992,471773629830.381,
Austria,2021,2.7666666666667,6.459,480467037338.783,
Austria,2020,1.38191063351862,5.201,434397601557.696,
Austria,2019,1.53089564152644,4.56,442983642371.842,
Austria,2018,1.9983798142954,4.933,452582294972.775,
Azerbaijan,2023,8.78543049849081,5.636,72356176470.5882,25.5211682288753
Azerbaijan,2022,13.8522590144267,5.65,78807470588.2353,-16.5226749771746
Azerbaijan,2021,6.65029912708779,6.04,54825411764.7059,-4.24616359058951
Azerbaijan,2020,2.75980947008127,7.24,42693000000.0,26.5368212837468
Azerbaijan,2019,2.61057182799215,5.0,48174235294.1176,17.5649086189187
Azerbaijan,2018,2.26854690373999,4.9,47112470051.7701,4.691769977505
"Bahamas, The",2023,3.05291578969743,8.643,14338500000.0,-1.96946877132035
"Bahamas, The",2022,5.60540633583044,9.272,13136400000.0,-0.0489411756101928
"Bahamas, The",2021,2.90491262928478,11.032,11368900000.0,5.37949690899087
"Bahamas, The",2020,0.0385210980054558,12.027,9958200000.0,7.07111291640028
"Bahamas, The",2019,2.49123527368046,9.336,13016200000.0,-0.328326497019889
"Bahamas, The",2018,2.26586346678736,10.0,12615800000.0,3.77660141348208
Bahrain,2023,0.0746206782192256,1.154,46079867021.2766,
Bahrain,2022,3.62574104304482,1.326,46680398936.1702,
Bahrain,2021,-0.60631938514085,1.541,40840212765.9574,
Bahrain,2020,-2.31770629331379,1.781,35837632978.7234,
Bahrain,2019,1.00582004702137,1.223,40446808510.6383,
